LFBB-P|Bordeaux ACC (FL195+) - Bordeaux|LFBB_P|LFBB-P
LFBB-R|Bordeaux ACC (FL195+) - Bordeaux|LFBB_R|LFBB-R
LFBB-T|Bordeaux ACC (FL195+) - Bordeaux|LFBB_T|LFBB-T
LFBB-UN|Bordeaux ACC (FL195+) - Bordeaux|LFBB_UN|LFBB-UN
LFBB-US|Bordeaux ACC (FL195+) - Bordeaux|LFBB_US|LFBB-US
LFBB-X|Bordeaux ACC (FL195+) - Bordeaux|LFBB_X|LFBB-X
LFBB-Z|Bordeaux ACC (FL195+) - Bordeaux|LFBB_Z|LFBB-Z
LFEE|Reims||LFEE
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_N|LFEE-N
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_HE|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_HH|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_KD|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_KE|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_KF|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_KH|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_UE|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_UF|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_UH|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_XE|LFEE-E
LFEE-E|Reims ACC (FL195+) - Reims|LFEE_XH|LFEE-E
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_HN|LFEE-N
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_HR|LFEE-N
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_KN|LFEE-N
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_KR|LFEE-N
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_UB|LFEE-N
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_UN|LFEE-N
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_UR|LFEE-N
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_XR|LFEE-N
LFEE-N|Reims ACC (FL265+) - Reims|LFEE_YB|LFEE-N
LFMM|Marseille||LFMM
LFMM-E|Marseille|LFMM_E|LFMM-E
LFMM-E|Marseille|LFMM_EU|LFMM-E
LFMM-N|Marseille|LFMM_N|LFMM-N
LFMM-N|Marseille|LFMM_NU|LFMM-N
LFMM-NE|Marseille|LFMM_NE|LFMM-NE
LFRR|Brest||LFRR
LFRR-E|Brest ACC (FL295+) - Brest|LFRR_E|LFRR-E
LFRR-E|Brest ACC (FL295+) - Brest|LFRR_UE|LFRR-E
